순번,조회수,업무분류,업무분류명,등록일,수정일,제목,FAQ분류
554,10912,20023,전기사용:할인요금,2003-02-14,2018-08-07,1주택수가구 요금을 적용받고 있는데 가구수가 감소하면 어떻게 해야 합니까.,전기요금:전기요금 계산
229,3875,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2019-02-11,고객이 임시공급설비 설치공사비를 부담하여 한전에서 임시공급설비를 시설하였을 경우의 임시공급설비의 유지·보수 책임한계점은 어떻게 됩니까.,전기사용:전기사용신청
535,20176,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,"변압기공동이용(모자거래)이란 무엇이며, 요금계산은 어떻게 합니까.",전기사용:전기사용계약
117,4461,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,공장을 새로 짓는데 옆 공장에서 변압기용량이 남는다고 하여 일부를 연결하여 같이 사용할 수 있습니까.,전기사용:전기사용계약
143,27540,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,전기설비중 냉·난방기기가 있는데 계약전력은 어떻게 산정합니까.,전기사용:전기사용신청
150,16099,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,고압으로 전기를 공급받고 있고 계약전력이 300kW인 공장입니다. 한전으로부터 최대수요전력이 높아 증설하라는 안내문을 받았는데 어떻게 조치해야 합니까.,전기사용:전기사용계약
153,6854,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,임시전력 50kW를 신청하여 수전변압기를 설치하였습니다. 저압계량하고 싶은데 가능합니까.,전기사용:전기사용신청
115,6811,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,주택을 헐고 새로 지으려고 하는데 임시전력을 별도로 신청하여 전기를 사용하여야 합니까.,전기사용:전기사용신청
116,2979,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,"동일구내에 공장을 증축하려는데 임시전력을 신청하지 않고 기존구좌의 전기를 이용, 건물을 증축할 수 있습니까.",전기사용:전기사용신청
212,5726,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2017-10-11,임시전력은 신규고객과 달리 고객에게 모든 시설부담금을 부담시키면서 왜 별도의 보증금까지 납부하라고 합니까.,전기사용:전기사용신청
217,3797,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2017-10-11,저희 신축건물에 전기사용신청을 하였는데 지중배전지역으로 고시되었다하여 지중배전선로로 전기를 공급받으라고 합니다. 공중전선로로 전기를 공급받을 수 없습니까.,전기사용:전기사용신청
230,7111,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,"임시전력 외선공사를 전기사용자가 시공할 경우 그 신청절차를 알려 주시고, 만일 활선공사가 수반될 경우에 활선공사는 한전에서 시공하여 줍니까.",전기사용:전기사용신청
591,4645,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,일반용전기설비와 자가용전기설비의 각각의 대상에 대하여 알려 주세요.,전기사용:전기사용신청
431,5066,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,상가부 공동주택인데 상점 및 주택을 구분하여 별도로 계량기를 달 수 있습니까.,전기사용:전기사용계약
432,8545,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,"계약전력 1,500kW 이상인 건물(부동산임대업)에서 건물소유자는 1명이지만 층별로 계량기를 달 수 있습니까.",전기사용:전기사용계약
434,4374,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,"다세대주택, 연립주택을 전문으로 건축하는 건설회사입니다. 주택을 준공하였으나 현재 미분양상태인데도 각호별로 계량기를 달 수 있습니까.",전기사용:전기사용신청
316,61961,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,"계약전력별 계량기 용량 선정은 어떻게 하며, 계약전력 증설시 계량기를 교환해야 합니까.",전기사용:전기사용신청
189,3742,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,행사장용으로 단 며칠만 임시전력을 사용하고 싶습니다. 계량기를 설치하지 않고 전기요금을 계산할 수 있는 방법이 없습니까.,전기사용:전기사용신청
419,4218,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,현재 옆건물에서 전기를 빌려 사용하고 있는데 가두판매대에도 계량기를 별도로 달아 전기를 사용할 수 있습니까.,전기사용:전기사용신청
421,2306,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,가구제조공장을 등록하고 건물을 임차한 후 건축물관리대장을 열람하니 건축물 용도가 축사로 되어 있습니다. 전기공급이 가능한지요.,전기사용:전기사용신청
427,6095,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,전기사용에 있어 한전과의 수급지점이 있다는데 수급지점에 대하여 자세히 알고 싶습니다.,전기사용:전기사용신청
428,7703,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,주택신축 현장에서 전기를 사용하려는데 이웃집 전기를 연결사용하여도 됩니까.,전기사용:전기사용신청
429,3946,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,엘리베이터가 있는 6층 사무실임대용 빌딩을 신축하였는데 층별로 계량기를 달 수 있습니까.,전기사용:전기사용신청
144,2424,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,수중전동기는 일반전동기와 다른 방법으로 계약전력을 산정한다고 하는데 구체적으로 말씀하여 주십시오.,전기사용:전기사용신청
145,6609,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,신축건물에 고압으로 전기를 공급받고자 변압기를 설치하였는데 변압기용량 표시가 두가지로 표시되어 있습니다. 변압기설비로 계약하고 싶은데 이 경우 계약전력은 어떻게 됩니까.,전기사용:전기사용신청
151,5003,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,"계약전력이 40,000kW를 초과하는 대단위 공장을 건립하려고 하는데 154,000V로 전기를 공급받아야 한다고 합니다. 22,900V-y로 공급받을 수 있는 방법은 없습니까.",전기사용:전기사용신청
152,7920,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,1Ø2W 220V를 공급받고 있는 식당에 3Ø에어콘을 설치하고 싶은데 에어컨용 계량기를 별도로 부착할 수 있습니까.,전기사용:전기사용신청
420,1880,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,나대지에 쓰레기처리장을 건립하고자 하는데 처리장내 조그마한 하천이 흐르고 있습니다. 이 경우 1계량으로 전기를 공급받을 수 있습니까.,전기사용:전기사용신청
279,8304,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,"저압, 특별고압이 있다고 하는데 어떻게 구분하는지 말씀하여 주십시오.",전기사용:전기사용신청
518,214400,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,계량기 하나로 여러 집이 전기를 사용하다 보니 세입자들과 전기요금 때문에 분쟁이 있습니다. 각각 한전 계량기를 달아 전기요금 청구서를 가구별로 받으려면 어떻게 하면 됩니까.,전기설비:계량기 관련
146,1552,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,한발시의 양수를 목적으로 관정을 설치하였습니다. 전동기 명판에 3Ø으로 표시되어 있는데 단상으로 공급받을 수 없습니까.,전기사용:전기사용신청
509,19348,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,아파트 전기사용계약 방법에 대하여 알려주세요.,전기사용:전기사용계약
338,9832,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,전기공급약관의 적용구역은 어떻게 됩니까.,전기사용:전기사용계약
147,9060,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,대형음식점인데 냉장고와 에어콘설비 등 전기사용설비용량이 130kW 정도 됩니다. 저압으로 공급받을 수 있습니까.,전기사용:전기사용신청
514,23225,20101,전기사용:신규업무:신청방법,2003-02-14,2018-08-07,전기사용신청이 취소되었는데 다시 신청할 경우 전기사용신청서 및 구비서류를 새로 제출해야 합니까.,전기사용:전기사용신청
102,1931,20101,전기사용:신규업무:신청방법,2003-02-14,2018-08-07,특수사용설비(전기용접기 등)의 전기사용 신청절차에 대해 알려주십시오.,전기사용:전기사용신청
1476,2816,20101,전기사용:신규업무:신청방법,2015-10-22,2018-08-07,태양광 발전을 하려고 하는데 절차가 어떻게 되나요.,전기사용:전기사용신청
220,2326,20101,전기사용:신규업무:신청방법,2003-02-14,2018-08-07,공장을 이전하였는데 전기설비를 옮겨서 계속 사용할 수 있는지요.,전기사용:전기사용계약
508,207474,20101,전기사용:신규업무:신청방법,2003-02-14,2018-08-07,전기를 새로 사용(신설)하려고 하는데 어떻게 해야 합니까.,전기사용:전기사용신청
515,17928,20101,전기사용:신규업무:신청방법,2003-02-14,2018-08-07,건축물 관련 증빙서류가 없거나 무허가건물인 경우 전기사용신청은 어떻게 합니까.,전기사용:전기사용신청
513,9664,20101,전기사용:신규업무:신청방법,2003-02-14,2018-08-07,전기사용신청후에 사정에 의하여 취소하려면 어떻게 해야 하나요. 또한 납부한 시설부담금은 환불받을 수 있나요.,전기사용:전기사용신청
512,12503,20102,전기사용:신규업무:구비서류,2003-02-14,2018-08-07,전기사용신청후에 사정상 신청내용을 변경하고자 하면 어떻게 해야 합니까.,전기사용:전기사용신청
511,10229,20103,전기사용:신규업무:처리일정,2003-02-14,2018-08-07,전기사용신청을 했는데 건물준공이 늦어져 전기사용개시일을 연기하려면 어떻게 해야 합니까.,전기사용:전기사용신청
507,58369,20103,전기사용:신규업무:처리일정,2003-02-14,2018-08-07,전기사용신청을 하면 며칠안에 전기를 공급받을 수 있습니까.,전기사용:전기사용신청
167,8635,20104,전기사용:신규업무:보증금,2003-02-14,2018-08-07,임시전력을 사용하고 있는 빌딩공사장인데 계약전력을 3kW/10kW로 증설할 경우 추가로 보증금을 납부하여야 합니까.,전기사용:전기사용신청
131,5310,20104,전기사용:신규업무:보증금,2003-02-14,2018-08-07,임시전력을 해지하고 상시전력을 수전하는 경우 납부한 임시전력 보증금을 환불받으려면 어떻게 해야 합니까.,전기사용:전기사용신청
211,8170,20104,전기사용:신규업무:보증금,2003-02-14,2017-10-11,임시전력 신청고객입니다. 보증금을 현금예치 대신 이행보증보험 증권으로 제출하고 싶은데 보험내용을 어떻게 기재하여야 합니까.,전기사용:전기사용신청
577,15116,20104,전기사용:신규업무:보증금,2003-02-14,2017-01-03,"보증금 납부대상, 금액, 보증기간, 환불에 대해서 자세히 알고 싶습니다.",전기사용:전기사용신청
578,14613,20104,전기사용:신규업무:보증금,2003-02-14,2018-08-07,임시전력 사용시 납부하는 보증금은 어떻게 산정합니까.,전기사용:전기사용신청
231,12527,20105,전기사용:신규업무:시설부담금,2003-02-14,2018-08-07,건축공사용 임시전력공급설비 설치에 따른 시설부담금을 전기사용자가 전액 부담하고 준공 후 상시전력 시설부담금도 부담하게 하면 고객은 이중으로 부담하는 것이 아닙니까.,전기사용:전기사용신청
623,6019,20105,전기사용:신규업무:시설부담금,2003-02-18,2018-08-07,공급설비를 변경하는 경우 고객부담 시설부담금은 어떻게 산정합니까.,전기사용:전기사용신청
228,21521,20105,전기사용:신규업무:시설부담금,2003-02-14,2017-10-11,건설공사장에 전기가 필요하여 임시전력을 사용하고 싶은데 임시공급설비를 한전에서 시설하여 줄 경우 고객부담시설부담금은 어떻게 산정합니까.,전기사용:전기사용신청
233,8578,20105,전기사용:신규업무:시설부담금,2003-02-14,2018-08-07,공중 특고압(계약전력 300kW)으로 전기를 공급받고 있는 공장인데 사업이 부진하여 저압 70kW로 줄이고 싶습니다. 납부하여야 할 시설부담금은 얼마입니까.,전기사용:전기사용신청
235,18101,20105,전기사용:신규업무:시설부담금,2003-02-14,2018-08-07,단상 220V로 공급받고 있는 영업장입니다. 삼상 380V 대형 냉장고를 설치하여 계약전력 변경없이 공급방식을 변경하고 싶은데 시설부담금은 어떻게 산정합니까.,전기사용:전기사용신청
594,43820,20105,전기사용:신규업무:시설부담금,2003-02-14,2018-08-07,고객부담시설부담금 정산대상과 방법에 대하여 알고 싶습니다.,전기사용:전기사용신청
592,7101,20105,전기사용:신규업무:시설부담금,2003-02-14,2018-08-07,고객부담 시설부담금의 적용 종류는 어떤 것이 있으며 어떻게 산정합니까.,전기사용:전기사용신청
242,3904,20105,전기사용:신규업무:시설부담금,2003-02-14,2018-08-07,지중화 확정지역에서의 저압 신규사용 신청시 시설부담금은 어떻게 산정합니까.,전기사용:전기사용신청
244,14135,20105,전기사용:신규업무:시설부담금,2003-02-14,2018-08-07,표준시설부담금 단가조정은 어떤 경우에 합니까.,전기사용:전기사용신청
245,2734,20105,전기사용:신규업무:시설부담금,2003-02-14,2018-08-07,새로 지은 빌딩에 이미 시설되어 있는 한전소유의 관로를 이용하여 전기를 공급받고 싶은데 고객부담시설부담금을 납부하여야 합니까.,전기사용:전기사용신청
240,2305,20105,전기사용:신규업무:시설부담금,2003-02-14,2018-08-07,저희 마을에서 논으로 개간한 산에 한해 대책용 관정을 집단으로 신청하고 싶은데 이 경우 거리시설부담금 산정은 어떻게 합니까.,전기사용:전기사용신청
241,9578,20105,전기사용:신규업무:시설부담금,2003-02-14,2018-08-07,새로 지은 건물이 지중화공급지역입니다. 저압 30kW 정도의 전기가 필요한데 시설부담금은 어떻게 산정합니까.,전기사용:전기사용신청
237,23358,20105,전기사용:신규업무:시설부담금,2003-02-14,2018-08-07,전기 신규사용 신청시 고객이 원하는 장소까지 일반 전기사업자인 한전부담으로 전기설비를 가설하여야 할 것으로 생각하는데 왜 고객이 시설부담금을 부담하여야 합니까.,전기사용:전기사용신청
647,3832,20105,전기사용:신규업무:시설부담금,2003-02-24,2018-08-07,일반공급설비란 무엇이며 이 경우 고객부담금 산정은 어떻게 합니까.,전기사용:전기사용신청
243,2102,20105,전기사용:신규업무:시설부담금,2003-02-14,2018-08-07,"공장규모가 대단위여서 154,000V로 전기를 공급받고 싶은데 이 경우 고객부담시설부담금은 어떻게 산정합니까.",전기사용:전기사용신청
942,4356,20105,전기사용:신규업무:시설부담금,2006-07-12,2018-08-07,현금으로 시설부담금을 납부했는데 현금영수증 발행이 됩니까.,전기사용:전기사용신청
141,6901,20105,전기사용:신규업무:시설부담금,2003-02-14,2018-08-07,현재 사용하고 있는 동력구좌를 해지신청하면 전기사용신청 당시에 한전에 납부한 시설부담금은 환불해 줍니까.,전기사용:전기사용신청
236,5533,20105,전기사용:신규업무:시설부담금,2003-02-14,2018-08-07,공장에 세를 들어 저압 단상 10kW 신규사용 신청을 하였는데 사정상 저압 20kW로 변경 신청하고 싶습니다. 한전에서 이미 변압기 설치공사를 완료한 경우 고객부담시설부담금은 어떻게 산정합니까.,전기사용:전기사용신청
593,2753,20105,전기사용:신규업무:시설부담금,2003-02-14,2018-08-07,고객부담시설부담금이 일시 납부하기에는 부담이 되어 분할 납부하고 싶은데 가능한지요.,전기사용:전기사용신청
595,10674,20107,전기사용:신규업무:사용전점검,2003-02-14,2018-08-07,일반용 전기설비의 사용전점검 대상 및 절차에 대해 알려주세요.,전기설비:전기공급설비
246,2525,20107,전기사용:신규업무:사용전점검,2003-02-14,2018-08-08,사용전 검사시 고객이 준비해야할 사항으로 고압이상 전기기계 기구의 시험성적서는 구체적으로 무엇을 말하는 것인지요.,전기설비:전기공급설비
223,7726,20108,전기사용:신규업무:전기공사업체,2003-02-14,2017-10-18,새로 지은 주택의 전기공사는 어떻게 해야 합니까.,전기사용:전기사용신청
253,10502,20108,전기사용:신규업무:전기공사업체,2003-02-14,2018-08-07,주택을 신축하여 전기내선공사를 하고 있는 건축주입니다. 계량기까지 들어오는 배선은 한전에서 공사를 해줘야 될 것 같은데 건축주가 공사를 해야 하는 것이 사실인가요.,전기사용:전기사용신청
423,2517,20109,전기사용:신규업무:기타,2003-02-14,2018-08-07,전기사용에 관한 전기사용계약 성립시기는 최초 전기사용 개시일로 결정하는지 그 기준을 알고 싶습니다.,전기사용:전기사용계약
334,6054,20109,전기사용:신규업무:기타,2003-02-14,2018-08-07,"태풍, 집중호우 등으로 재난을 당한 이재민 고객들에게 전기요금 납기일을 연장하여 준 것은 한국전력공사가 전기공급약관 준수의무를 스스로 위배한 것이 아닙니까.",전기사용:전기사용계약
337,7444,20109,전기사용:신규업무:기타,2003-02-14,2018-08-07,전기공급약관에 명시되어 있지 아니한 사항은 어떻게 결정합니까.,전기사용:전기사용계약
426,3745,20109,전기사용:신규업무:기타,2003-02-14,2018-08-07,외국에서 제조기기를 도입하였는데 사용전압이 전기공급약관에 규정된 전기공급전압 이외 전압입니다. 기기사용전압과 일치된 공급전압으로 전기를 공급받을 수 없습니까.,전기사용:전기사용신청
530,4522,20109,전기사용:신규업무:기타,2003-02-14,2018-08-07,예비전력이란 무엇입니까.,전기사용:계약종별 안내
335,24289,20109,전기사용:신규업무:기타,2003-02-14,2018-08-07,전기공급약관은 한국전력공사 내부제정규정인데 전기사용자에게 불리한 조건으로 강제준수하게 하는 것은 전기사업 독점성을 이용한 횡포가 아닌가요.,전기사용:전기사용계약
336,6968,20109,전기사용:신규업무:기타,2003-02-14,2018-08-07,전기공급약관의 제정이나 개정은 어떤 절차로 만들어집니까.,전기사용:전기사용계약
510,404573,20110,전기사용:영업일반:고객정보변경,2003-02-14,2018-08-07,전기사용자 명의변경은 어떻게 해야 합니까.,전기사용:전기사용계약
104,3886,20110,전기사용:영업일반:고객정보변경,2003-02-14,2018-08-07,부친의 사망으로 상속받은 주택의 경우 전기도 전화처럼 새로 사용신청을 하여야 합니까.,전기사용:전기사용신청
550,161329,20110,전기사용:영업일반:고객정보변경,2003-02-14,2018-08-07,"매매, 임대차 등에 의한 이사로 전기 사용자가 바뀌는 경우 명의변경 및 전기요금 정산은 어떻게 하나요.",전기사용:전기사용계약
708,4727,20110,전기사용:영업일반:고객정보변경,2003-05-26,2017-09-15,이메일청구서상 고객명이 실제와 다르게 나옵니다. 수정은 어떻게 하면 되나요.,전기요금:청구서(인터넷빌링)
417,7569,20110,전기사용:영업일반:고객정보변경,2003-02-14,2018-08-07,사업자등록증 사본 제출요청서를 받은 공장입니다. 한전에 사업자등록증 사본을 제출하지 않으면 어떻게 됩니까.,전기사용:전기사용신청
975,1524,20111,전기사용:영업일반:계약종별변경,2006-10-02,2018-08-07,자동차관리법에 의한 폐차장은 현재 기타사업으로 산업용전력을 적용받고 있는데 자동차정비업체에 대해서도 산업용요금을 적용할 수 없습니까.,전기사용:계약종별 안내
1002,4948,20111,전기사용:영업일반:계약종별변경,2006-10-10,2018-08-07,아파트 구내도로에 설치된 조명등은 가로등 요금을 적용받고 있는데 지하주차장 조명등도 가로등 요금을 적용받을 수 있습니까.,전기사용:계약종별 안내
1082,5264,20111,전기사용:영업일반:계약종별변경,2006-10-13,2018-08-07,산업용전력 적용대상 기타사업이란 무엇입니까.,전기사용:계약종별 안내
548,46825,20111,전기사용:영업일반:계약종별변경,2003-02-14,2018-08-07,주택용전력의 적용 대상 및 전기요금은 어떻게 됩니까.,전기사용:계약종별 안내
158,3902,20111,전기사용:영업일반:계약종별변경,2003-02-14,2018-08-07,논 일부를 밭으로 개조한 곳에 한해 대책용으로 설치되어 있는 관정을 같이 사용할 경우 계속 농사용전력(갑) 계약종별을 적용받을 수 있습니까.,전기사용:계약종별 안내
161,1603,20111,전기사용:영업일반:계약종별변경,2003-02-14,2018-08-07,상수도 수압이 낮은 고지대 동네에 상수도 가압장을 설치하여 급수하려고 합니다. 이 경우 급수시설의 계약종별은 무엇입니까.,전기사용:계약종별 안내
163,3483,20111,전기사용:영업일반:계약종별변경,2003-02-14,2018-08-07,홍수조절용 배수펌프장인데 배수펌프모터 추가설치로 계약전력을250kW에서 500kW로 증설하였습니다. 산업용전력(을)로 적용받을 수 없습니까.,전기사용:계약종별 안내
531,73285,20111,전기사용:영업일반:계약종별변경,2003-02-14,2018-08-07,일반용전력 적용 대상 및 전기요금은 어떻게 됩니까.,전기사용:계약종별 안내
112,5396,20111,전기사용:영업일반:계약종별변경,2003-02-14,2018-08-07,근린생활시설(상점부주택)로 허가받은 건물입니다. 일반용전력을 적용받을 수 있습니까.,전기사용:계약종별 안내
111,8491,20111,전기사용:영업일반:계약종별변경,2003-02-14,2018-08-07,민박을 하려고 하는데 주택용전력을 일반용으로 변경할 수 있습니까.,전기사용:계약종별 안내
113,131714,20111,전기사용:영업일반:계약종별변경,2003-02-14,2019-07-01,장사를 하는데 주택용전력으로 되어 있어 요금부담이 많습니다. 일반용으로 적용받을 수 없습니까.,전기사용:계약종별 안내
656,3440,20111,전기사용:영업일반:계약종별변경,2003-03-01,2018-08-07,행정관서의 허가를 받고 정식 등록된 음악미술학원입니다. 교육용으로 적용 받을 수 없습니까.,전기사용:계약종별 안내
110,24101,20111,전기사용:영업일반:계약종별변경,2003-02-14,2018-08-07,재택사업자인데 주택용 누진제 때문에 전기요금이 너무 많이 나옵니다. 일반용 전기요금을 적용할 수 없나요.,전기사용:계약종별 안내
969,1232,20111,전기사용:영업일반:계약종별변경,2006-10-02,2018-08-07,축산산업 발전도모를 위해 현재 산업용이 적용되는 도축장에 대해 농사용전력을 적용할 수 없습니까.,전기사용:계약종별 안내
160,5589,20111,전기사용:영업일반:계약종별변경,2003-02-14,2018-08-07,과수원에 주거용 관리사를 지었습니다. 현재 공급받고 있는 농사용전력으로 계속 사용할 수 있습니까.,전기사용:계약종별 안내
970,3939,20111,전기사용:영업일반:계약종별변경,2006-10-02,2018-08-07,현재 농작물 저온보관 시설은 농사용이 적용되고 있는데 수산물 냉장 (저온보관) 시설에 대해서도 농사용전력을 적용할 수 없습니까.,전기사용:계약종별 안내
966,1286,20111,전기사용:영업일반:계약종별변경,2006-10-02,2018-08-07,"지자체로부터 위탁받은 청소년직업체험센터로서 대안학교 성격인 작업장 학교를 개교하여 영상, 디자인, 음악 등 다양한 분야의 문화예술 활동을 지원, 교육하고 있는데 교육용전력을 적용받을 수 있습니까.",전기사용:계약종별 안내
164,3665,20111,전기사용:영업일반:계약종별변경,2003-02-14,2018-08-07,공업고등학교인데 산업용전력 적용이 가능합니까.,전기사용:계약종별 안내
162,1622,20111,전기사용:영업일반:계약종별변경,2003-02-14,2018-08-07,"공장에서 좀 떨어진 곳에 양수장을 설치하여 부족한 공업용수를 보충하고 싶은데, 공장 전기는 사용이 불가능하여 별도로 전기를 사용하여야 합니다. 이 경우 계약종별은 무엇입니까.",전기사용:계약종별 안내
103,5376,20111,전기사용:영업일반:계약종별변경,2003-02-14,2018-08-07,아파트에서 주민이 공동으로 사용하는 오수정화시설 및 상수도가압설비는 어떤 계약종별에 해당됩니까.,전기사용:계약종별 안내
1021,927,20111,전기사용:영업일반:계약종별변경,2006-10-10,2018-08-07,21세기 고부가가치 핵심산업인 영상산업의 국제경쟁력 강화를 위해 영화필름 복제업에 대해 산업용 요금을 적용받을 수 없습니까.,전기사용:계약종별 안내
1041,1247,20111,전기사용:영업일반:계약종별변경,2006-10-11,2018-08-07,지역단위 작목반에서 감귤의 크기를 가리는 선과장을 운영하고 있습니다.감귤 선과장에 대해 농사용 요금을 적용받을 수 있습니까.,전기사용:계약종별 안내
961,2691,20111,전기사용:영업일반:계약종별변경,2006-10-02,2018-08-07,"백화점, 업무용 건물 등 민간시설의 야관경관 조명시설에도 가로등 요금을 적용받을 수 있습니까.",전기사용:계약종별 안내
